date,Market_Index, Period,Market_Change
01-01-2018,10435.55,Pre,-5.90%
02-01-2018,10442.2,Pre,-5.84%
03-01-2018,10443.2,Pre,-5.83%
04-01-2018,10504.8,Pre,-5.28%
05-01-2018,10558.85,Pre,-4.79%
08-01-2018,10623.6,Pre,-4.21%
09-01-2018,10637,Pre,-4.09%
10-01-2018,10632.2,Pre,-4.13%
11-01-2018,10651.2,Pre,-3.96%
12-01-2018,10681.25,Pre,-3.69%
15-01-2018,10741.55,Pre,-3.14%
16-01-2018,10700.45,Pre,-3.52%
17-01-2018,10788.55,Pre,-2.72%
18-01-2018,10817,Pre,-2.46%
19-01-2018,10894.7,Pre,-1.76%
22-01-2018,10966.2,Pre,-1.12%
23-01-2018,11083.7,Pre,-0.06%
24-01-2018,11086,Pre,-0.04%
25-01-2018,11069.65,Pre,-0.19%
29-01-2018,11130.4,Pre,0.36%
30-01-2018,11049.65,Pre,-0.37%
31-01-2018,11027.7,Pre,-0.56%
01-02-2018,11016.9,Pre,-0.66%
02-02-2018,10760.6,Pre,-2.97%
05-02-2018,10666.55,Pre,-3.82%
06-02-2018,10498.25,Pre,-5.34%
07-02-2018,10476.7,Pre,-5.53%
08-02-2018,10576.85,Pre,-4.63%
09-02-2018,10454.95,Pre,-5.73%
12-02-2018,10539.75,Pre,-4.96%
14-02-2018,10500.9,Pre,-5.31%
15-02-2018,10545.5,Pre,-4.91%
16-02-2018,10452.3,Pre,-5.75%
19-02-2018,10378.4,Pre,-6.42%
20-02-2018,10360.4,Pre,-6.58%
21-02-2018,10397.45,Pre,-6.25%
22-02-2018,10382.7,Pre,-6.38%
23-02-2018,10491.05,Pre,-5.40%
26-02-2018,10582.6,Pre,-4.58%
27-02-2018,10554.3,Pre,-4.83%
28-02-2018,10492.85,Pre,-5.39%
01-03-2018,10458.35,Pre,-5.70%
05-03-2018,10358.85,Pre,-6.60%
06-03-2018,10249.25,Pre,-7.58%
07-03-2018,10154.2,Pre,-8.44%
08-03-2018,10242.65,Pre,-7.64%
09-03-2018,10226.85,Pre,-7.79%
12-03-2018,10421.4,Pre,-6.03%
13-03-2018,10426.85,Pre,-5.98%
14-03-2018,10410.9,Pre,-6.13%
15-03-2018,10360.15,Pre,-6.58%
16-03-2018,10195.15,Pre,-8.07%
19-03-2018,10094.25,Pre,-8.98%
20-03-2018,10124.35,Pre,-8.71%
21-03-2018,10155.25,Pre,-8.43%
22-03-2018,10114.75,Pre,-8.80%
23-03-2018,9998.05,Pre,-9.85%
26-03-2018,10130.65,Pre,-8.65%
27-03-2018,10184.15,Pre,-8.17%
28-03-2018,10113.7,Pre,-8.81%
02-04-2018,10211.8,Pre,-7.92%
03-04-2018,10245,Pre,-7.62%
04-04-2018,10128.4,Pre,-8.67%
05-04-2018,10325.15,Pre,-6.90%
06-04-2018,10331.6,Pre,-6.84%
09-04-2018,10379.35,Pre,-6.41%
10-04-2018,10402.25,Pre,-6.20%
11-04-2018,10417.15,Pre,-6.07%
12-04-2018,10458.65,Pre,-5.70%
13-04-2018,10480.6,Pre,-5.50%
16-04-2018,10528.35,Pre,-5.07%
17-04-2018,10548.7,Pre,-4.88%
18-04-2018,10526.2,Pre,-5.09%
19-04-2018,10565.3,Pre,-4.73%
20-04-2018,10564.05,Pre,-4.75%
23-04-2018,10584.7,Pre,-4.56%
24-04-2018,10614.35,Pre,-4.29%
25-04-2018,10570.55,Pre,-4.69%
26-04-2018,10617.8,Pre,-4.26%
27-04-2018,10692.3,Pre,-3.59%
30-04-2018,10739.35,Pre,-3.16%
02-05-2018,10718.05,Pre,-3.36%
03-05-2018,10679.65,Pre,-3.70%
04-05-2018,10618.25,Pre,-4.26%
07-05-2018,10715.5,Pre,-3.38%
08-05-2018,10717.8,Pre,-3.36%
09-05-2018,10741.7,Pre,-3.14%
10-05-2018,10716.55,Pre,-3.37%
11-05-2018,10806.5,Pre,-2.56%
14-05-2018,10806.6,Pre,-2.56%
15-05-2018,10801.85,Pre,-2.60%
16-05-2018,10741.1,Pre,-3.15%
17-05-2018,10682.7,Pre,-3.68%
18-05-2018,10596.4,Pre,-4.45%
21-05-2018,10516.7,Pre,-5.17%
22-05-2018,10536.7,Pre,-4.99%
23-05-2018,10430.35,Pre,-5.95%
24-05-2018,10513.85,Pre,-5.20%
25-05-2018,10605.15,Pre,-4.37%
28-05-2018,10688.65,Pre,-3.62%
29-05-2018,10633.3,Pre,-4.12%
30-05-2018,10614.35,Pre,-4.29%
31-05-2018,10736.15,Pre,-3.19%
01-06-2018,10696.2,Pre,-3.55%
04-06-2018,10628.5,Pre,-4.16%
05-06-2018,10593.15,Pre,-4.48%
06-06-2018,10684.65,Pre,-3.66%
07-06-2018,10768.35,Pre,-2.90%
08-06-2018,10767.65,Pre,-2.91%
11-06-2018,10786.95,Pre,-2.74%
